t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta
36,-0.36571428571428566,0.5214807784745616,0,power,0.155766492760276
52,-0.08126984126984133,0.2370363340301173,0,power,0.155766492760276
68,-0.17151162790697672,0.3272781206672527,0,power,0.155766492760276
84,-0.08375506072874495,0.23952155348902093,0,power,0.155766492760276
100,-0.17197740112994347,0.32774389389021946,0,power,0.155766492760276
116,-0.10716269841269838,0.26292919117297436,0,power,0.155766492760276
132,-0.15879536779452674,0.31456186055480273,0,power,0.155766492760276
148,-0.1669716185845218,0.3227381113447978,0,power,0.155766492760276
164,-0.15630997715156125,0.31207646991183724,0,power,0.155766492760276
180,-0.12298097251585627,0.27874746527613226,0,power,0.155766492760276
196,-0.10639340842720069,0.2621599011874767,0,power,0.155766492760276
212,-0.12092417386535037,0.27669066662562636,0,power,0.155766492760276
228,-0.12324475871243368,0.27901125147270966,0,power,0.155766492760276
244,-0.05326746306426999,0.20903395582454598,0,power,0.155766492760276
260,-0.06775453399494324,0.22352102675521923,0,power,0.155766492760276
276,-0.10121038381907943,0.2569768765793554,0,power,0.155766492760276
292,-0.13166666666666665,0.28743315942694264,0,power,0.155766492760276
308,-0.12424919501952769,0.2800156877798037,0,power,0.155766492760276
324,-0.060151629084919556,0.21591812184519554,0,power,0.155766492760276
340,-0.06284910642024122,0.2186155991805172,0,power,0.155766492760276
356,-0.052426501856437935,0.20819299461671392,0,power,0.155766492760276
372,-0.059925217819954746,0.21569171058023073,0,power,0.155766492760276
388,-0.028143758760183157,0.18391025152045914,0,power,0.155766492760276
404,-0.022097378277153634,0.17786387103742962,0,power,0.155766492760276
420,-0.052173821703553336,0.20794031446382932,0,power,0.155766492760276
436,-0.07370949930603998,0.22947599206631597,0,power,0.155766492760276
452,-0.04603106062608864,0.20179755338636463,0,power,0.155766492760276
468,-0.027875606821293863,0.18364209958156985,0,power,0.155766492760276
484,0.005765839099172498,0.1500006536611035,0,power,0.155766492760276
500,0.012362141870505994,0.14340435088977,0,power,0.155766492760276
516,0.019170136339454746,0.13659635642082124,0,power,0.155766492760276
532,0.010875236184911485,0.1448912565753645,0,power,0.155766492760276
548,0.009900324724199439,0.14586616803607655,0,power,0.155766492760276
564,0.016805258844946658,0.13896123391532933,0,power,0.155766492760276
580,0.007724320287769926,0.14804217247250606,0,power,0.155766492760276
596,-0.0018771686328937776,0.15764366139316977,0,power,0.155766492760276
612,-0.008697148721560244,0.16446364148183623,0,power,0.155766492760276
628,0.0013547809099190289,0.15441171185035696,0,power,0.155766492760276
644,0.0014477462582666023,0.15431874650200939,0,power,0.155766492760276
660,-0.0043418475490327735,0.16010834030930876,0,power,0.155766492760276
676,-0.00246520626599267,0.15823169902626866,0,power,0.155766492760276
692,-0.0073219215603321786,0.16308841432060817,0,power,0.155766492760276
708,-0.011146660648321816,0.1669131534085978,0,power,0.155766492760276
724,0.014793705600780527,0.14097278715949546,0,power,0.155766492760276
740,0.01937742450281621,0.13638906825745978,0,power,0.155766492760276
756,0.037611454046639126,0.11815503871363686,0,power,0.155766492760276
772,0.028808225546397837,0.12695826721387815,0,power,0.155766492760276
788,0.026688474337294266,0.12907801842298172,0,power,0.155766492760276
804,0.0204272925475687,0.1353392002127073,0,power,0.155766492760276
820,0.03475550680924955,0.12101098595102644,0,power,0.155766492760276
836,0.03889257879488606,0.11687391396538993,0,power,0.155766492760276
852,0.03824849863802671,0.11751799412224928,0,power,0.155766492760276
868,0.035117140007232206,0.12064935275304378,0,power,0.155766492760276
884,0.04198314273505799,0.113783350025218,0,power,0.155766492760276
900,0.0486436799441492,0.10712281281612679,0,power,0.155766492760276
916,0.04427459743808593,0.11149189532219006,0,power,0.155766492760276
932,0.04241705182617639,0.1133494409340996,0,power,0.155766492760276
948,0.03577393723098443,0.11999255552929156,0,power,0.155766492760276
964,0.04011661414493306,0.11564987861534293,0,power,0.155766492760276
980,0.04615828967094793,0.10960820308932806,0,power,0.155766492760276
996,0.05268241053716205,0.10308408222311394,0,power,0.155766492760276
1012,0.0486334232332708,0.10713306952700519,0,power,0.155766492760276
1028,0.042707941135181615,0.11305855162509437,0,power,0.155766492760276
1044,0.04009791546556252,0.11566857729471347,0,power,0.155766492760276
1060,0.035048788577014434,0.12071770418326155,0,power,0.155766492760276
1076,0.04747187897440819,0.1082946137858678,0,power,0.155766492760276
1092,0.04854977329188792,0.10721671946838807,0,power,0.155766492760276
1108,0.052955367536093534,0.10281112522418245,0,power,0.155766492760276
1124,0.05248149147342429,0.1032850012868517,0,power,0.155766492760276
1140,0.06144691409756342,0.09431957866271257,0,power,0.155766492760276
1156,0.06097393758736791,0.09479255517290808,0,power,0.155766492760276
1172,0.07182493654253108,0.0839415562177449,0,power,0.155766492760276
1188,0.07066579459534572,0.08510069816493027,0,power,0.155766492760276
1204,0.06701617496408696,0.08875031779618903,0,power,0.155766492760276
1220,0.07040471834579631,0.08536177441447967,0,power,0.155766492760276
1236,0.0699898252696346,0.08577666749064139,0,power,0.155766492760276
1252,0.07322521774576574,0.08254127501451025,0,power,0.155766492760276
1268,0.0752665238882807,0.08049996887199529,0,power,0.155766492760276
1284,0.07098086351622657,0.08478562924404942,0,power,0.155766492760276
1300,0.07784276128355072,0.07792373147672527,0,power,0.155766492760276
1316,0.07838538242384385,0.07738111033643214,0,power,0.155766492760276
1332,0.06663095371923211,0.08913553904104388,0,power,0.155766492760276
1348,0.069649330005645,0.086117162754631,0,power,0.155766492760276
1364,0.07272498156283147,0.08304151119744452,0,power,0.155766492760276
1380,0.07452429281025053,0.08124219995002546,0,power,0.155766492760276
1396,0.08611642066352765,0.06965007209674834,0,power,0.155766492760276
1412,0.08212389531729858,0.07364259744297741,0,power,0.155766492760276
1428,0.08299960647643556,0.07276688628384043,0,power,0.155766492760276
1444,0.08150996427862323,0.07425652848165276,0,power,0.155766492760276
1460,0.0816353529464221,0.07413113981385389,0,power,0.155766492760276
1476,0.0804156203405264,0.07535087241974958,0,power,0.155766492760276
1492,0.07857905848906743,0.07718743427120855,0,power,0.155766492760276
1508,0.08248857932125686,0.07327791343901913,0,power,0.155766492760276
1524,0.0763255614705215,0.07944093128975449,0,power,0.155766492760276
1540,0.07990022542218889,0.0758662673380871,0,power,0.155766492760276
1556,0.08505257709037983,0.07071391566989615,0,power,0.155766492760276
1572,0.08240194739815454,0.07336454536212145,0,power,0.155766492760276
1588,0.07873862808282772,0.07702786467744827,0,power,0.155766492760276
1604,0.07778641744917414,0.07798007531110185,0,power,0.155766492760276
1620,0.07792921571263345,0.07783727704764254,0,power,0.155766492760276
1636,0.07822950150912467,0.07753699125115132,0,power,0.155766492760276
1652,0.08056638628953428,0.07520010647074171,0,power,0.155766492760276
1668,0.07811826123248478,0.07764823152779121,0,power,0.155766492760276
1684,0.08482852948523922,0.07093796327503676,0,power,0.155766492760276
1700,0.09638142213438561,0.05938507062589038,0,power,0.155766492760276
1716,0.0992242937368577,0.05654219902341828,0,power,0.155766492760276
1732,0.0963554456042055,0.059411047156070484,0,power,0.155766492760276
1748,0.09689753174320515,0.05886896101707084,0,power,0.155766492760276
1764,0.09926541265773714,0.05650108010253885,0,power,0.155766492760276
1780,0.10008783701816637,0.05567865574210962,0,power,0.155766492760276
1796,0.10243307401941704,0.05333341874085895,0,power,0.155766492760276
1812,0.0989588028737115,0.05680768988656448,0,power,0.155766492760276
1828,0.09636028237440075,0.059406210385875236,0,power,0.155766492760276
1844,0.08992766485025638,0.0658388279100196,0,power,0.155766492760276
1860,0.08981378566839426,0.06595270709188172,0,power,0.155766492760276
1876,0.0889882834810185,0.06677820927925748,0,power,0.155766492760276
1892,0.08954173040632418,0.0662247623539518,0,power,0.155766492760276
1908,0.09530550241700375,0.060460990343272236,0,power,0.155766492760276
1924,0.09304784179428072,0.06271865096599527,0,power,0.155766492760276
1940,0.09387374735038234,0.061892745409893646,0,power,0.155766492760276
1956,0.09652979575299148,0.05923669700728451,0,power,0.155766492760276
1972,0.0947884313913745,0.06097806136890149,0,power,0.155766492760276
1988,0.09378069068898509,0.061985802071290896,0,power,0.155766492760276
2004,0.10106832594576776,0.05469816681450823,0,power,0.155766492760276
2020,0.09785048387974415,0.05791600888053183,0,power,0.155766492760276
2036,0.1027033146801608,0.05306317808011518,0,power,0.155766492760276
2052,0.10146295287337559,0.0543035398869004,0,power,0.155766492760276
2068,0.09780070140101038,0.057965791359265606,0,power,0.155766492760276
2084,0.10142814574780734,0.054338347012468646,0,power,0.155766492760276
2100,0.09843048469724336,0.05733600806303263,0,power,0.155766492760276
2116,0.09735074626714235,0.058415746493133636,0,power,0.155766492760276
2132,0.0957707379747399,0.05999575478553609,0,power,0.155766492760276
2148,0.09148893067467312,0.06427756208560287,0,power,0.155766492760276
2164,0.08485604011719627,0.07091045264307971,0,power,0.155766492760276
2180,0.07884815110812271,0.07691834165215328,0,power,0.155766492760276
2196,0.0739906032032217,0.08177588955705428,0,power,0.155766492760276
2212,0.07257132057120619,0.0831951721890698,0,power,0.155766492760276
2228,0.07032826916922297,0.08543822359105302,0,power,0.155766492760276
2244,0.06674100975713948,0.08902548300313651,0,power,0.155766492760276
2260,0.06574081009919375,0.09002568266108224,0,power,0.155766492760276
2276,0.06352166270610993,0.09224483005416606,0,power,0.155766492760276
2292,0.0621530290522897,0.09361346370798629,0,power,0.155766492760276
2308,0.06370484155338263,0.09206165120689336,0,power,0.155766492760276
2324,0.06629190692624864,0.08947458583402734,0,power,0.155766492760276
2340,0.06442797297363612,0.09133851978663987,0,power,0.155766492760276
2356,0.06902463949142568,0.08674185326885031,0,power,0.155766492760276
2372,0.0692952524807281,0.08647124027954789,0,power,0.155766492760276
2388,0.06971862187426059,0.0860478708860154,0,power,0.155766492760276
2404,0.06746210033173183,0.08830439242854415,0,power,0.155766492760276
2420,0.06561362761915435,0.09015286514112164,0,power,0.155766492760276
2436,0.06555905414453045,0.09020743861574554,0,power,0.155766492760276
2452,0.06684564331353693,0.08892084944673906,0,power,0.155766492760276
2468,0.06736293450785324,0.08840355825242274,0,power,0.155766492760276
2484,0.06285549724647999,0.092910995513796,0,power,0.155766492760276
2500,0.06301684359925341,0.09274964916102257,0,power,0.155766492760276
2516,0.06269364943110323,0.09307284332917276,0,power,0.155766492760276
2532,0.06069122139666128,0.09507527136361471,0,power,0.155766492760276
2548,0.06141196979469321,0.09435452296558278,0,power,0.155766492760276
2564,0.06306953251818359,0.0926969602420924,0,power,0.155766492760276
2580,0.06267190024298219,0.0930945925172938,0,power,0.155766492760276
2596,0.06058100290982116,0.09518548985045483,0,power,0.155766492760276
2612,0.06474270651131497,0.09102378624896101,0,power,0.155766492760276
2628,0.06534163462893483,0.09042485813134116,0,power,0.155766492760276
2644,0.06507721666611233,0.09068927609416366,0,power,0.155766492760276
2660,0.06524780962862742,0.09051868313164857,0,power,0.155766492760276
2676,0.06424151144123158,0.09152498131904441,0,power,0.155766492760276
2692,0.056801037012094824,0.09896545574818116,0,power,0.155766492760276
2708,0.05948864556198208,0.09627784719829391,0,power,0.155766492760276
2724,0.05636157780795337,0.09940491495232262,0,power,0.155766492760276
2740,0.06370989925367743,0.09205659350659856,0,power,0.155766492760276
